"stationID","datetimeUTC","telem_source","voltage_V","h2Temp_C","stage_ft","LSU","basinPair"
"BN","2023-10-02 23:00:00","Iridium",13.6,16,"0",3,"Blue Grouse"
"FW","2023-10-02 12:00:00","Iridium",12.7,6.2,"0.04",100,"Fish Creek"
"TE","2023-10-02 23:00:00","Iridium",13.3,12.5,"0.06",21,"Tripps Knob"
"TW","2023-09-25 23:00:00","Iridium",12.5,12.6,"0.02",100,"Tripps Knob"
"BN","2023-10-03 23:00:00","Iridium",13.7,15.5,"0",3,"Blue Grouse"
"TW","2023-10-03 23:00:00","Iridium",12.4,10.4,"0.02",1,"Tripps Knob"
"FW","2023-10-04 12:00:00","Iridium",12.7,9,"0.04",100,"Fish Creek"
"BN","2023-10-04 23:00:00","Iridium",13.6,17.6,"0",3,"Blue Grouse"
"FW","2023-10-05 12:00:00","Iridium",12.7,8.8,"0.04",100,"Fish Creek"
"BN","2023-10-06 23:00:00","Iridium",13.4,17.9,"0",3,"Blue Grouse"
"TE","2023-10-06 23:00:00","Iridium",13.2,17.9,"0.06",21,"Tripps Knob"
"FW","2023-10-07 12:00:00","Iridium",12.7,7.4,"0.04",100,"Fish Creek"
"BN","2023-10-07 23:00:00","Iridium",13.4,19.7,"0",3,"Blue Grouse"
"TE","2023-10-07 23:00:00","Iridium",13.2,18,"0.06",21,"Tripps Knob"
"TW","2023-10-07 23:00:00","Iridium",12.4,12.1,"0.02",1,"Tripps Knob"
"FW","2023-10-08 12:00:00","Iridium",12.7,8.8,"0.04",100,"Fish Creek"
"BN","2023-10-08 23:00:00","Iridium",13.4,19.7,"0",3,"Blue Grouse"
"TE","2023-10-08 23:00:00","Iridium",13.2,18.7,"0.06",21,"Tripps Knob"
"TW","2023-10-08 23:00:00","Iridium",12.4,13.3,"0.02",1,"Tripps Knob"
"BN","2023-10-09 23:00:00","Iridium",13.8,22.3,"0",3,"Blue Grouse"
"FW","2023-10-09 12:00:00","Iridium",12.7,10.2,"0.04",100,"Fish Creek"
"TE","2023-10-09 23:00:00","Iridium",13.2,16.7,"0.06",21,"Tripps Knob"
"TW","2023-10-09 23:00:00","Iridium",12.4,13.8,"0.02",1,"Tripps Knob"
"BN","2023-10-12 23:00:00","Iridium",13.7,10.5,"0.01",4,"Blue Grouse"
"FW","2023-10-12 12:00:00","Iridium",12.6,3,"0.04",100,"Fish Creek"
"TE","2023-10-12 23:00:00","Iridium",13.2,8.7,"0.07",21,"Tripps Knob"
"TW","2023-10-12 23:00:00","Iridium",12.3,6.7,"0.03",1,"Tripps Knob"
"FW","2023-10-13 12:00:00","Iridium",12.6,3.7,"0.05",100,"Fish Creek"
"BN","2023-10-13 23:00:00","Iridium",13.8,15.5,"0",4,"Blue Grouse"
"TE","2023-10-13 23:00:00","Iridium",13.3,12.2,"0.06",21,"Tripps Knob"
"TW","2023-10-13 23:00:00","Iridium",12.3,8.3,"0.03",1,"Tripps Knob"
"FW","2023-10-14 12:00:00","Iridium",12.6,5.7,"0.04",100,"Fish Creek"
"BN","2023-10-14 23:00:00","Iridium",13.6,15,"0",4,"Blue Grouse"
"TE","2023-10-14 23:00:00","Iridium",13.3,12.5,"0.06",21,"Tripps Knob"
"BN","2023-10-15 23:00:00","Iridium",13.6,18.6,"0",4,"Blue Grouse"
"TE","2023-10-15 23:00:00","Iridium",13.3,13.7,"0.07",21,"Tripps Knob"
"TW","2023-10-15 23:00:00","Iridium",12.3,10.4,"0.03",1,"Tripps Knob"
"BN","2023-10-16 23:00:00","Iridium",13.5,12.7,"0.02",4,"Blue Grouse"
"TE","2023-10-16 23:00:00","Iridium",13.2,12.5,"0.06",21,"Tripps Knob"
"TW","2023-10-16 23:00:00","Iridium",12.3,10.9,"0.03",1,"Tripps Knob"
"BN","2023-10-17 23:00:00","Iridium",13.6,11.7,"0.03",4,"Blue Grouse"
"TE","2023-10-17 23:00:00","Iridium",13.2,9.4,"0.07",21,"Tripps Knob"
"BN","2023-10-18 23:00:00","Iridium",13.4,14.1,"0",4,"Blue Grouse"
"TE","2023-10-18 23:00:00","Iridium",13.2,10.8,"0.06",21,"Tripps Knob"
"TW","2023-10-18 23:00:00","Iridium",12.3,8.8,"0.03",1,"Tripps Knob"
"FW","2023-10-19 12:00:00","Iridium",12.6,7.9,"0.04",100,"Fish Creek"
"BN","2023-10-20 23:00:00","Iridium",13.6,19,"0",4,"Blue Grouse"
"TE","2023-10-20 23:00:00","Iridium",13.1,14.8,"0.06",21,"Tripps Knob"
"FW","2023-10-21 12:00:00","Iridium",12.6,8.1,"0.04",100,"Fish Creek"
"BN","2023-10-21 23:00:00","Iridium",13.7,18.5,"0",4,"Blue Grouse"
"TE","2023-10-21 23:00:00","Iridium",13.2,13.6,"0.06",21,"Tripps Knob"
"FW","2023-10-22 12:00:00","Iridium",12.6,8.5,"0.04",100,"Fish Creek"
"BN","2023-10-22 23:00:00","Iridium",13.6,15,"0",4,"Blue Grouse"
"BN","2023-10-23 23:00:00","Iridium",14.1,10.8,"0",4,"Blue Grouse"
"FW","2023-10-24 12:00:00","Iridium",12.6,1.5,"0.04",100,"Fish Creek"
"BN","2023-10-24 23:00:00","Iridium",14.2,6.5,"0",4,"Blue Grouse"
"FW","2023-10-25 12:00:00","Iridium",12.6,-1.5,"0.05",100,"Fish Creek"
"BN","2023-10-25 23:00:00","Iridium",13.6,0.1,"0.01",4,"Blue Grouse"
"TE","2023-10-25 23:00:00","Iridium",12.9,-2.3,"0.07",100,"Tripps Knob"
"TW","2023-10-25 23:00:00","Iridium",12.8,-3.1,"0.04",100,"Tripps Knob"
"FW","2023-10-26 12:00:00","Iridium",12.6,-5,"0.05",100,"Fish Creek"
"BN","2023-10-26 23:00:00","Iridium",13.8,0.5,"0.02",4,"Blue Grouse"
"TE","2023-10-26 23:00:00","Iridium",12.8,-1.6,"0.07",100,"Tripps Knob"
"TW","2023-10-26 23:00:00","Iridium",12.8,-2.4,"0.03",100,"Tripps Knob"
"FW","2023-10-27 12:00:00","Iridium",12.5,-4.7,"0.05",100,"Fish Creek"
"BN","2023-10-27 23:00:00","Iridium",14.5,1.2,"0.01",4,"Blue Grouse"
"TE","2023-10-27 23:00:00","Iridium",13.1,-0.6,"0.07",100,"Tripps Knob"
"TW","2023-10-27 23:00:00","Iridium",12.8,-2.9,"0.03",100,"Tripps Knob"
"FW","2023-10-28 12:00:00","Iridium",12.5,-7.7,"0.04",100,"Fish Creek"
"BN","2023-10-28 23:00:00","Iridium",13.8,1.7,"-0.01",4,"Blue Grouse"
"TE","2023-10-28 23:00:00","Iridium",13.4,-0.9,"0.07",100,"Tripps Knob"
"TW","2023-10-28 23:00:00","Iridium",12.8,-2.7,"0.03",100,"Tripps Knob"
"FW","2023-10-29 12:00:00","Iridium",12.5,-6.4,"0.04",100,"Fish Creek"
"BN","2023-10-29 23:00:00","Iridium",14.2,3.2,"0",4,"Blue Grouse"
"TE","2023-10-29 23:00:00","Iridium",13.4,-0.6,"0.07",100,"Tripps Knob"
"TE","2023-10-30 23:00:00","Iridium",13.4,-0.4,"0.07",100,"Tripps Knob"
"FW","2023-10-31 12:00:00","Iridium",12.6,-3.8,"0.05",100,"Fish Creek"
"BN","2023-08-26 23:00:00","Iridium",13.8,28.3,"-0.01",17,"Blue Grouse"
"FW","2023-08-28 12:00:00","Iridium",12,15.3,"0.04",10,"Fish Creek"
"TE","2023-08-27 23:00:00","Iridium",13.8,33.9,"0.05",13,"Tripps Knob"
"TW","2023-08-27 23:00:00","Iridium",12.7,22.2,"0.02",100,"Tripps Knob"
"BN","2023-08-28 23:00:00","Iridium",13.5,31.4,"-0.01",17,"Blue Grouse"
"TE","2023-08-28 23:00:00","Iridium",13.5,34.9,"0.05",13,"Tripps Knob"
"TW","2023-08-28 23:00:00","Iridium",12.7,22.9,"0.02",100,"Tripps Knob"
"FW","2023-08-29 12:00:00","Iridium",12,15.5,"0.04",10,"Fish Creek"
"BN","2023-08-29 23:00:00","Iridium",13.3,22.1,"0",17,"Blue Grouse"
"TE","2023-08-29 23:00:00","Iridium",13.9,18.7,"0.05",13,"Tripps Knob"
"TW","2023-08-29 23:00:00","Iridium",12.7,17.3,"0.02",100,"Tripps Knob"
"BN","2023-08-30 23:00:00","Iridium",12.9,11.5,"0.02",22,"Blue Grouse"
"TE","2023-08-30 23:00:00","Iridium",13,11.1,"0.11",15,"Tripps Knob"
"TW","2023-08-30 23:00:00","Iridium",12.6,10.7,"0.1",100,"Tripps Knob"
"BN","2023-08-31 23:00:00","Iridium",13.5,20.7,"0",22,"Blue Grouse"
"TE","2023-08-31 23:00:00","Iridium",13.3,16,"0.07",15,"Tripps Knob"
"TW","2023-08-31 23:00:00","Iridium",12.6,12.8,"0.03",100,"Tripps Knob"
"BN","2023-09-01 23:00:00","Iridium",13.5,23.3,"0",22,"Blue Grouse"
"TE","2023-09-01 23:00:00","Iridium",13.4,22.5,"0.07",15,"Tripps Knob"
"TW","2023-09-01 23:00:00","Iridium",12.6,14,"0.02",100,"Tripps Knob"
"BN","2023-09-02 23:00:00","Iridium",13.5,26.6,"0",22,"Blue Grouse"
"TE","2023-09-02 23:00:00","Iridium",13.4,27.5,"0.06",15,"Tripps Knob"
"TW","2023-09-02 23:00:00","Iridium",12.7,16.8,"0.02",100,"Tripps Knob"
"FW","2023-09-03 12:00:00","Iridium",11.9,14.1,"0.04",10,"Fish Creek"
"BN","2023-09-03 23:00:00","Iridium",13.4,21.4,"0.01",22,"Blue Grouse"
"TE","2023-09-03 23:00:00","Iridium",13.1,17.7,"0.07",15,"Tripps Knob"
"TW","2023-09-03 23:00:00","Iridium",12.6,15.1,"0.02",100,"Tripps Knob"
"FW","2023-09-04 12:00:00","Iridium",11.9,12.3,"0.05",10,"Fish Creek"
"BN","2023-09-04 23:00:00","Iridium",13.5,16.9,"0",22,"Blue Grouse"
"TW","2023-09-04 23:00:00","Iridium",12.6,12.8,"0.02",100,"Tripps Knob"
"FW","2023-09-05 12:00:00","Iridium",11.9,8.1,"0.05",10,"Fish Creek"
"TE","2023-09-05 23:00:00","Iridium",13.3,23,"0.06",15,"Tripps Knob"
"FW","2023-09-06 12:00:00","Iridium",11.9,8.5,"0.04",10,"Fish Creek"
"TE","2023-09-06 23:00:00","Iridium",13.5,17.2,"0.06",15,"Tripps Knob"
"FW","2023-09-07 12:00:00","Iridium",11.9,8.1,"0.05",10,"Fish Creek"
"BN","2023-09-07 23:00:00","Iridium",13.4,23.3,"0",22,"Blue Grouse"
"FW","2023-09-08 12:00:00","Iridium",11.9,10.2,"0.04",10,"Fish Creek"
"FW","2023-09-09 12:00:00","Iridium",11.9,10.2,"0.04",10,"Fish Creek"
"TE","2023-09-09 23:00:00","Iridium",13.2,28.2,"0.05",15,"Tripps Knob"
"FW","2023-09-10 12:00:00","Iridium",11.9,10.7,"0.04",10,"Fish Creek"
"TE","2023-09-10 23:00:00","Iridium",13.2,28,"0.05",15,"Tripps Knob"
"TW","2023-09-10 23:00:00","Iridium",12.6,17,"0.02",100,"Tripps Knob"
"BN","2023-09-11 23:00:00","Iridium",13.6,27.6,"0",22,"Blue Grouse"
"FW","2023-09-12 12:00:00","Iridium",11.9,12.3,"0.04",10,"Fish Creek"
"TE","2023-09-12 23:00:00","Iridium",13.5,22.3,"0.06",15,"Tripps Knob"
"FW","2023-09-13 12:00:00","Iridium",11.9,10.9,"0.04",10,"Fish Creek"
"TW","2023-09-13 23:00:00","Iridium",12.6,16.1,"0.02",100,"Tripps Knob"
"FW","2023-09-14 12:00:00","Iridium",11.9,10,"0.04",10,"Fish Creek"
"BN","2023-09-14 23:00:00","Iridium",13.4,22.8,"0",22,"Blue Grouse"
"TE","2023-09-14 23:00:00","Iridium",13.2,26.5,"0.05",15,"Tripps Knob"
"TW","2023-09-14 23:00:00","Iridium",12.6,15.9,"0.02",100,"Tripps Knob"
"FW","2023-09-15 12:00:00","Iridium",11.9,10,"0.04",10,"Fish Creek"
"BN","2023-09-15 23:00:00","Iridium",13.3,24.8,"0",22,"Blue Grouse"
"TE","2023-09-15 23:00:00","Iridium",13.2,27,"0.05",15,"Tripps Knob"
"TW","2023-09-15 23:00:00","Iridium",12.5,17,"0.02",100,"Tripps Knob"
"FW","2023-09-16 12:00:00","Iridium",11.9,11.1,"0.04",10,"Fish Creek"
"BN","2023-09-16 23:00:00","Iridium",13.4,25.5,"0",22,"Blue Grouse"
"TE","2023-09-16 23:00:00","Iridium",13.2,26.6,"0.05",15,"Tripps Knob"
"FW","2023-09-17 12:00:00","Iridium",11.9,13,"0.04",10,"Fish Creek"
"BN","2023-09-17 23:00:00","Iridium",13.9,23.1,"0",22,"Blue Grouse"
"TE","2023-09-17 23:00:00","Iridium",13.4,21,"0.05",15,"Tripps Knob"
"TW","2023-09-17 23:00:00","Iridium",12.5,17.2,"0.02",100,"Tripps Knob"
"FW","2023-09-18 12:00:00","Iridium",11.9,12.5,"0.04",10,"Fish Creek"
"BN","2023-09-18 23:00:00","Iridium",13.4,22.1,"0",22,"Blue Grouse"
"TE","2023-09-18 23:00:00","Iridium",13.3,21.1,"0.05",15,"Tripps Knob"
"TW","2023-09-18 23:00:00","Iridium",12.5,16.5,"0.02",100,"Tripps Knob"
"FW","2023-09-19 12:00:00","Iridium",11.9,7.2,"0.04",10,"Fish Creek"
"BN","2023-09-19 23:00:00","Iridium",13.5,17.1,"0",22,"Blue Grouse"
"TE","2023-09-19 23:00:00","Iridium",13.5,17.3,"0.06",15,"Tripps Knob"
"FW","2023-09-20 12:00:00","Iridium",11.9,5.8,"0.04",10,"Fish Creek"
"BN","2023-09-20 23:00:00","Iridium",13.6,18.3,"0",22,"Blue Grouse"
"TE","2023-09-20 23:00:00","Iridium",13.5,16.3,"0.06",15,"Tripps Knob"
"TW","2023-09-20 23:00:00","Iridium",12.5,10.5,"0.02",100,"Tripps Knob"
"FW","2023-09-21 12:00:00","Iridium",11.9,7.4,"0.04",10,"Fish Creek"
"BN","2023-09-21 23:00:00","Iridium",14,19.8,"0",22,"Blue Grouse"
"TE","2023-09-21 23:00:00","Iridium",13.5,19.2,"0.05",15,"Tripps Knob"
"TW","2023-09-21 23:00:00","Iridium",12.5,14.7,"0.02",100,"Tripps Knob"
"BN","2023-09-29 23:00:00","Iridium",13.9,11.5,"0.02",1,"Blue Grouse"
"FW","2023-09-29 12:00:00","Iridium",12.7,3.7,"0.06",100,"Fish Creek"
"TE","2023-09-27 23:00:00","Iridium",13,7.9,"0.12",19,"Tripps Knob"
"FW","2023-09-30 12:00:00","Iridium",12.7,5,"0.05",100,"Fish Creek"
"BN","2023-09-30 23:00:00","Iridium",13.8,14.8,"0.01",3,"Blue Grouse"
"FW","2023-10-01 12:00:00","Iridium",12.7,4.1,"0.05",100,"Fish Creek"
"BN","2023-10-01 23:00:00","Iridium",13.5,17.8,"0.01",3,"Blue Grouse"
"FW","2023-10-10 12:00:00","Iridium",12.7,10.6,"0.04",100,"Fish Creek"
"BN","2023-10-10 23:00:00","Iridium",13.6,11.4,"0.02",3,"Blue Grouse"
"TE","2023-10-10 23:00:00","Iridium",12.9,10.1,"0.07",21,"Tripps Knob"
"TW","2023-10-10 23:00:00","Iridium",12.3,9.1,"0.03",1,"Tripps Knob"
"FW","2023-10-11 12:00:00","Iridium",12.6,6.2,"0.05",100,"Fish Creek"
"BN","2023-10-11 23:00:00","Iridium",13.8,9.5,"0.02",4,"Blue Grouse"
"TE","2023-10-11 23:00:00","Iridium",13,7.5,"0.08",21,"Tripps Knob"
"TW","2023-10-11 23:00:00","Iridium",12.3,6.7,"0.04",1,"Tripps Knob"
"BN","2023-11-08 23:00:00","Iridium",13.7,3.6,"0.03",9,"Blue Grouse"
"FW","2023-11-04 12:00:00","Iridium",12.6,2.5,"0.05",100,"Fish Creek"
"TE","2023-11-08 23:00:00","Iridium",13.3,1.2,"0.17",100,"Tripps Knob"
"TW","2023-11-08 23:00:00","Iridium",12.8,0.9,"0.08",100,"Tripps Knob"
"BN","2023-11-09 23:00:00","Iridium",13.8,2.2,"0.03",9,"Blue Grouse"
"TE","2023-11-09 23:00:00","Iridium",13.2,0.1,"0.14",100,"Tripps Knob"
"TW","2023-11-09 23:00:00","Iridium",12.8,-0.5,"0.06",100,"Tripps Knob"
"BN","2023-11-10 23:00:00","Iridium",13,0.3,"0.03",9,"Blue Grouse"
"TE","2023-11-10 23:00:00","Iridium",13,0.8,"0.13",100,"Tripps Knob"
"BN","2023-11-11 23:00:00","Iridium",13.4,5.1,"0.02",9,"Blue Grouse"
"TE","2023-11-11 23:00:00","Iridium",12.9,4.1,"0.12",100,"Tripps Knob"
"FW","2023-11-12 12:00:00","Iridium",12.6,1.3,"0.07",100,"Fish Creek"
"BN","2023-11-12 23:00:00","Iridium",13.7,4.8,"0.03",9,"Blue Grouse"
"TE","2023-11-12 23:00:00","Iridium",13.3,5.1,"0.11",100,"Tripps Knob"
"FW","2023-11-13 12:00:00","Iridium",12.6,1.3,"0.06",100,"Fish Creek"
"BN","2023-11-13 23:00:00","Iridium",13.3,4.1,"0.03",9,"Blue Grouse"
"FW","2023-11-14 12:00:00","Iridium",12.6,-1.2,"0.06",100,"Fish Creek"
"BN","2023-11-14 23:00:00","Iridium",13.4,3.2,"0.02",9,"Blue Grouse"
"FW","2023-11-15 12:00:00","Iridium",12.6,0.9,"0.06",100,"Fish Creek"
"BN","2023-11-15 23:00:00","Iridium",13,0.1,"0.03",9,"Blue Grouse"
"TW","2023-11-15 23:00:00","Iridium",12.7,-0.3,"0.2",100,"Tripps Knob"
"FW","2023-11-16 12:00:00","Iridium",12.6,-1.9,"0.08",100,"Fish Creek"
"BN","2023-11-16 23:00:00","Iridium",13.4,1.2,"0.03",9,"Blue Grouse"
"TW","2023-11-16 23:00:00","Iridium",12.7,-0.6,"0.08",100,"Tripps Knob"
"BN","2023-11-17 23:00:00","Iridium",13.5,0.3,"0.01",9,"Blue Grouse"
"FW","2023-11-17 12:00:00","Iridium",12.6,-3.1,"0.07",100,"Fish Creek"
"FW","2023-11-18 12:00:00","Iridium",12.6,-2.2,"0.07",100,"Fish Creek"
"BN","2023-11-18 23:00:00","Iridium",13.6,3.8,"0.02",9,"Blue Grouse"
"TW","2023-11-18 23:00:00","Iridium",12.7,-0.6,"0.06",100,"Tripps Knob"
"FW","2023-11-19 12:00:00","Iridium",12.5,-0.3,"0.07",100,"Fish Creek"
"BN","2023-11-19 23:00:00","Iridium",12.9,-0.2,"0.04",9,"Blue Grouse"
"TE","2023-11-19 23:00:00","Iridium",13,-0.2,"0.12",100,"Tripps Knob"
"TW","2023-11-19 23:00:00","Iridium",12.7,-0.6,"0.06",100,"Tripps Knob"
"FW","2023-11-20 12:00:00","Iridium",12.6,-1.9,"0.06",100,"Fish Creek"
"BN","2023-11-20 23:00:00","Iridium",13,0.3,"0.03",9,"Blue Grouse"
"TE","2023-11-20 23:00:00","Iridium",13.3,-0.4,"0.11",100,"Tripps Knob"
"FW","2023-11-21 12:00:00","Iridium",12.5,-3.1,"0.06",100,"Fish Creek"
"BN","2023-11-21 23:00:00","Iridium",13.5,2,"0.03",9,"Blue Grouse"
"TW","2023-11-21 23:00:00","Iridium",12.7,-0.8,"0.05",100,"Tripps Knob"
"FW","2023-11-22 12:00:00","Iridium",12.6,-0.5,"0.06",100,"Fish Creek"
"BN","2023-11-22 23:00:00","Iridium",13.5,1.9,"0.04",9,"Blue Grouse"
"TE","2023-11-22 23:00:00","Iridium",13.3,0,"0.11",100,"Tripps Knob"
"FW","2023-11-23 12:00:00","Iridium",12.6,-2,"0.06",100,"Fish Creek"
"BN","2023-11-23 23:00:00","Iridium",13.5,2.9,"0.02",9,"Blue Grouse"
"TE","2023-11-23 23:00:00","Iridium",13.3,-0.4,"0.1",100,"Tripps Knob"
"FW","2023-11-24 12:00:00","Iridium",12.6,-2.7,"0.06",100,"Fish Creek"
"TW","2023-11-24 23:00:00","Iridium",12.7,-2.4,"0.05",100,"Tripps Knob"
"BN","2023-11-25 23:00:00","Iridium",13.7,1.5,"0.01",9,"Blue Grouse"
"TE","2023-11-25 23:00:00","Iridium",13.2,-2.3,"0.1",100,"Tripps Knob"
"TW","2023-11-25 23:00:00","Iridium",12.7,-3.4,"0.04",100,"Tripps Knob"
"FW","2023-11-26 12:00:00","Iridium",12.5,-6.1,"0.06",100,"Fish Creek"
"BN","2023-11-26 23:00:00","Iridium",13.4,-2,"0.01",9,"Blue Grouse"
"TE","2023-11-26 23:00:00","Iridium",13,-3,"0.09",100,"Tripps Knob"
"TW","2023-11-26 23:00:00","Iridium",12.7,-3.6,"0.04",100,"Tripps Knob"
"BN","2023-11-27 23:00:00","Iridium",13.7,-1.1,"0",9,"Blue Grouse"
"TE","2023-11-27 23:00:00","Iridium",13.1,-2.6,"0.09",100,"Tripps Knob"
"BN","2023-11-28 23:00:00","Iridium",13.5,-0.4,"0.01",9,"Blue Grouse"
"TE","2023-11-28 23:00:00","Iridium",13,-4.9,"0.09",100,"Tripps Knob"
"TW","2023-11-28 23:00:00","Iridium",12.7,-4.3,"0.01",100,"Tripps Knob"
"FW","2023-11-29 12:00:00","Iridium",12.5,-7.3,"0.22",100,"Fish Creek"
"BN","2023-11-29 23:00:00","Iridium",13.5,-4.2,"0",9,"Blue Grouse"
"TE","2023-11-29 23:00:00","Iridium",13.1,-4.2,"0.09",100,"Tripps Knob"
"TW","2023-11-29 23:00:00","Iridium",12.7,-5,"-0.03",100,"Tripps Knob"
"FW","2023-11-30 12:00:00","Iridium",12.5,-6.2,"0.17",100,"Fish Creek"
"BN","2023-11-30 23:00:00","Iridium",13.4,-3.9,"0",9,"Blue Grouse"
"TE","2023-11-30 23:00:00","Iridium",12.9,-4.7,"0.09",100,"Tripps Knob"
"TW","2023-11-30 23:00:00","Iridium",12.7,-5,"0.1",100,"Tripps Knob"
"BN","2023-12-01 23:00:00","Iridium",12.9,-3.5,"-0.01",9,"Blue Grouse"
"TE","2023-12-01 23:00:00","Iridium",12.8,-3.5,"0.09",100,"Tripps Knob"
"TW","2023-12-01 23:00:00","Iridium",12.7,-4.3,"-0.12",100,"Tripps Knob"
"FW","2023-12-02 12:00:00","Iridium",12.5,-4,"0.19",100,"Fish Creek"
"BN","2023-12-02 23:00:00","Iridium",12.8,-0.1,"-0.04",9,"Blue Grouse"
"TE","2023-12-02 23:00:00","Iridium",12.8,-0.9,"0.09",100,"Tripps Knob"
"FW","2023-12-03 12:00:00","Iridium",12.5,-4.3,"0.08",100,"Fish Creek"
"BN","2023-12-03 23:00:00","Iridium",12.8,-0.7,"0",9,"Blue Grouse"
"TE","2023-12-04 23:00:00","Iridium",12.8,-0.4,"0.09",100,"Tripps Knob"
"BN","2023-12-05 23:00:00","Iridium",12.8,1,"0.06",11,"Blue Grouse"
"TE","2023-12-05 23:00:00","Iridium",12.8,0.6,"0.61",100,"Tripps Knob"
"BN","2023-12-06 23:00:00","Iridium",12.9,2.4,"0.07",11,"Blue Grouse"
"TE","2023-12-07 23:00:00","Iridium",12.9,0.1,"0.57",100,"Tripps Knob"
"TE","2023-12-08 23:00:00","Iridium",12.9,-1.6,"0.33",100,"Tripps Knob"
